id,created_at,favorite_count,retweet_count,text
1648670022879916032,2023-04-19 12:48:58+00:00,5,0,@JoaoEnsina @SarahKSilverman @jaketapper @KatrinaNation @LarrySabato @ValerieJarrett @PeteButtigieg @jmpalmieri @ShiaKapos @Lis_Smith @BobShrum Happy birthday João!
1648419241065078785,2023-04-18 20:12:27+00:00,363,60,CNN: A settlement has been reached in the historic defamation case between Fox and Dominion Voting Systems.
1648006350117412868,2023-04-17 16:51:47+00:00,29,0,@Cary_Elwes Thank you my friend!
1647977891861241866,2023-04-17 14:58:42+00:00,867,38,A DC gem. Duke gives it two paws up. 🐶🐾 https://t.co/JVX7awRAZM
1647688821117468673,2023-04-16 19:50:02+00:00,173,35,Back with you 5-8p eastern as we follow yet another mass shooting... this time in Alabama. Joining us to discuss... @alfranken @RepEscobar plus former SecDef Leon Panetta and former DNI James Clapper... as well as @MariaTCardona @alicetweet @ScottJenningsKY @IsaacDovere and… https://t.co/BTTlscjLyv
1647600751533760513,2023-04-16 14:00:04+00:00,610,188,"CNN: Law enforcement agencies in Alabama Saturday night responded to a shooting in downtown Dadeville, which left at least four people dead and resulted in “multiple” injuries just after 10:30 p.m., the Alabama Law Enforcement Agency (ALEA) said in a news release."
1647309997938704384,2023-04-15 18:44:43+00:00,116,19,Back with you 4-8p eastern... Joining us to discuss the news... @RepZoeLofgren @RepSummerLee @GovRichardson @AnnaForFlorida @MollyJongFast @DougHeye  @ForecasterEnten @JohnAvlon @MargaretHoover @JustinElliott @GeneralClark @elliotcwilliams @BillWeirCNN @KimDozier and… https://t.co/3CO8NFpmAQ
1646607061730447381,2023-04-13 20:11:30+00:00,215,47,Suspect arrested in murder of Cash App founder Bob Lee. Police say they knew each other.   https://t.co/lnEKbET9z7
1646569940114178053,2023-04-13 17:44:00+00:00,252,12,Washington football fans... when is the parade? https://t.co/lpRker8cB9
1646569106190073880,2023-04-13 17:40:41+00:00,332,22,Commanders fans right now... https://t.co/EpoqtmvnEr
1646551159702794241,2023-04-13 16:29:22+00:00,153,45,Leader of Online Group Where Secret Documents Leaked Is Air National Guardsman - The New York Times https://t.co/fhbD21d9A4
1645543889783144453,2023-04-10 21:46:50+00:00,1820,149,"The Nashville Metropolitan Council voted to reappoint Justin Jones to the Tennessee House of Representatives, sending the expelled lawmaker back to his seat as an interim representative."
1645427036519841793,2023-04-10 14:02:30+00:00,348,112,"Shooting in downtown Louisville leaves multiple casualties, authorities say https://t.co/oZC1RNJtIZ"
