id,created_at,favorite_count,retweet_count,text
1649427437460004865,2023-04-21 14:58:40+00:00,7,0,@whinerisms i have!
1649426757278105601,2023-04-21 14:55:58+00:00,1,0,@meghin_ it’s out?!?!?
1649426525966458882,2023-04-21 14:55:03+00:00,602,28,i continue to think that an underrated (and ironic!) problem with the supreme court is that it has too many lawyers
1649426393858560003,2023-04-21 14:54:31+00:00,1739,168,supreme court brain is a bipartisan affliction. decades of isolation on top of decades in law offices and legal academia is a recipe for a warped sense of perspective https://t.co/q4x1Lq3d5O
1649406295676469251,2023-04-21 13:34:40+00:00,175,3,"i talk about this movie not infrequently on @unclearpod and that’s because it is an incredibly fun, sexy film. highly, highly recommended. https://t.co/89iWYdppcx"
1649402563710656514,2023-04-21 13:19:50+00:00,183,2,i love this movie. saw it at e street and was blown away https://t.co/bcf6N8n5vO
1649235917918404608,2023-04-21 02:17:38+00:00,84,6,"come for the discussion of JFK assassination conspiracies, stay for my discussion of black politics in the urban north in the 1970s"
1649235916437766145,2023-04-21 02:17:38+00:00,64,4,🚨new patreon episode 🚨 https://t.co/iiA9h5xmDy
1649225327619497985,2023-04-21 01:35:33+00:00,131,3,wrote about this for my newsletter so sign up before saturday to read it first thing https://t.co/C4pbhrgqS5
1649224688541876225,2023-04-21 01:33:01+00:00,685,47,"one thing i think is interesting is that while there have been a few black candidates for the republican presidential nomination over the course of the party’s history only one, tim scott, this year, has been an officeholder https://t.co/Dm4Mn3QE0N"
1649218962285027335,2023-04-21 01:10:16+00:00,1836,199,imagine being so loathed that you can't even pay people to be your friend https://t.co/4VuQjs9bPQ
1649214528167583746,2023-04-21 00:52:39+00:00,1065,59,"me, peacefully rewatching Double Indemnity https://t.co/InJmnxun2F"
1649200673886552065,2023-04-20 23:57:35+00:00,148,4,"gonna be on @allinwithchris at the top of the hour, tune in!"
1649192775605276672,2023-04-20 23:26:12+00:00,9,1,@dem8z thank you! 🙏🏿
1649148525794455565,2023-04-20 20:30:22+00:00,112,1,@lefttwick i consider this an honor
1649135782760792064,2023-04-20 19:39:44+00:00,1072,34,ich bin ein reply guy https://t.co/UQvaCsVyNy
1649135059654393856,2023-04-20 19:36:52+00:00,3270,48,"oh hey, they finally took my blue check. i am once again with you, the people"
1649086075455909892,2023-04-20 16:22:13+00:00,5798,1500,Republicans are very aware that they are not winning anything close to a majority of young people anytime soon so naturally their solution to the problem is just to try to keep them from voting. https://t.co/3ou0ICi4P9
1649079894234603520,2023-04-20 15:57:39+00:00,42,0,@erikmbaker i think that’s right
1649069992950767616,2023-04-20 15:18:19+00:00,11,0,"@Atrios @tomscocca i just wipe it off with a clean paper towel. i do often rub meat with lemon juice or lime juice and salt but that isn’t really disinfecting, that’s tenderizing."
1649067043839172608,2023-04-20 15:06:36+00:00,28,0,@AllezLesBoulez to me what this seems like is people are grossed out by handling raw meat
1649066621393043457,2023-04-20 15:04:55+00:00,46,0,@AllezLesBoulez she keeps saying it is to remove blood and debris but unless she is slaughtering her chickens herself i do not know what she is talking about
1649055632857911298,2023-04-20 14:21:15+00:00,2846,327,there it is https://t.co/mOcpqV9Soj
1648727276417167361,2023-04-19 16:36:29+00:00,17,0,@BushAdmittedIt lmao
1648726030717157376,2023-04-19 16:31:32+00:00,148,0,just realized i don’t actually own the skull island 4K so time to add that to the cart
1648725175876059153,2023-04-19 16:28:08+00:00,12,0,@jackalltogether better universe
1648724244312776708,2023-04-19 16:24:26+00:00,268,3,is there a kind of convoluted mythology? yeah sure but it doesn’t matter
1648724005195587584,2023-04-19 16:23:29+00:00,288,2,"do you want to see godzilla fight king kong? well, here it is, have fun."
1648723907405283332,2023-04-19 16:23:05+00:00,504,26,"these movies are very simple. they ask questions like, “do you want to see king kong on skull island? yes. well, here he is, doing king kong shit.”

“do you want to see godzilla be the king of the monsters? yes. well, here is godzilla doing godzilla shit.”"
1648723603712557060,2023-04-19 16:21:53+00:00,1095,44,i can’t express enough how much i love this franchise https://t.co/zI5IppPEfy
1648699840891633665,2023-04-19 14:47:28+00:00,85,0,@AsteadWH lmfao
1648699559202234369,2023-04-19 14:46:20+00:00,43,0,@Crabin no one wants to trade with ron desnackpack
1648663609067687936,2023-04-19 12:23:29+00:00,1550,71,"lmao damn, is ron desantis even going to make it to voting next year? https://t.co/YczTIlRQAr"
1648662226608201730,2023-04-19 12:18:00+00:00,2315,184,"It’s true, defamation is when you try to keep your sweetheart deal with a powerful billionaire secret but the LIBRUL media won’t let you https://t.co/08P9gxXFk7"
1648657539226009600,2023-04-19 11:59:22+00:00,4278,412,"Oh, and don’t forget that the gun industry itself sells the fantasy of blowing away anyone who intrudes on your property."
1648656571696656385,2023-04-19 11:55:31+00:00,30467,5436,I think our national experiment in freely giving deadly weapons to anyone who wants one and cultivating an atmosphere of paranoia and fear is going extremely well. https://t.co/KYQWb1n7Do
1648370177078181902,2023-04-18 16:57:30+00:00,1054,144,that’s right https://t.co/lu73cHzGmU
1648338758335361025,2023-04-18 14:52:39+00:00,889,51,there’s no rule that says you have to post everything that comes into your brain
1648338248488435712,2023-04-18 14:50:37+00:00,2133,120,just saw a tweet that made me want to remind everyone that there are some things you should just save for the group chat
1648331362913378306,2023-04-18 14:23:16+00:00,53,0,seriously though if you like the main feed show and are thinking “i want to eventually hear jamelle go on about red dawn” then the patreon show is where it’s at
1648330781847158790,2023-04-18 14:20:57+00:00,2,0,@UrbFuturistDem yep!
1648327695313391616,2023-04-18 14:08:41+00:00,97,5,"also this movie is a glorious 90 minutes and only $3 to rent on iTunes, so very easy to watch https://t.co/EWlHIyNdC5"
1648301796144697344,2023-04-18 12:25:46+00:00,4066,406,"on the one hand, she is obviously bought and paid for. on the other, this a pitiful sum to have torched your reelection odds for. a strong small donor operation could raise this in a day, no problem https://t.co/99xPT65ecn"
1648297233266163715,2023-04-18 12:07:38+00:00,6840,1394,"weird how so many police and sheriff’s departments appear to be festering swamps of 1920s-style gutter racism. oh well, i’m sure it doesn’t mean anything. https://t.co/H0hW170HKz"
1648098149154553857,2023-04-17 22:56:33+00:00,327,40,here’s that column! wrote it in january. https://t.co/ymotylhdPn
1648097694987026434,2023-04-17 22:54:45+00:00,361,1,i guess the other thing i could have said is i love visiting civil war battlefields and know quite a lot about the battles themselves but i figured y’all already know that about me
1648096877907173379,2023-04-17 22:51:30+00:00,302,11,*constitutional responsibility
1648096473836388352,2023-04-17 22:49:54+00:00,30,0,@dwaldenwrites one of the things i hope to do in life!
1648095985854214149,2023-04-17 22:47:57+00:00,578,2,might give myself a statue avi just for kicks
1648095983044050945,2023-04-17 22:47:57+00:00,1525,31,reading classical historians and philosophers and studying latin https://t.co/L8D4WBuRo5
1648094803287060480,2023-04-17 22:43:15+00:00,2887,462,argued something similar not long ago. very strong case to make that the debt limit is itself unconstitutional because following it would force the president to break his constitutional authority to a) execute the laws and b) maintain the full faith and credit of the US! https://t.co/I3WV5q0z0B
