id,created_at,favorite_count,retweet_count,text
1649466440896872449,2023-04-21 17:33:39+00:00,125,33,*LYIN' BIDEN* https://t.co/PDkmbaKML5
1649442139707781122,2023-04-21 15:57:05+00:00,789,254,Another piece falls into place... https://t.co/wcn5IC7zeL
1649430750314262528,2023-04-21 15:11:50+00:00,169,35,Whoops... https://t.co/n2g49mKnJk
1649397081549709315,2023-04-21 12:58:03+00:00,445,114,“That document in the wrong person’s hands would be astronomically dangerous.” https://t.co/JsarLtBjAd
1649392019465293826,2023-04-21 12:37:56+00:00,324,39,"ELDER: “America is in decline, but this decline is not inevitable. We can enter a new American Golden Age, but we must choose a leader who can bring us there. That’s why I’m running for President."" https://t.co/NRCfRmBHwv"
1649384931787788288,2023-04-21 12:09:46+00:00,421,102,White House Denies IRS Whistleblower Allegations Of Mishandled Investigation Into Hunter Biden https://t.co/Um5OAn5jpt
1649371518680412160,2023-04-21 11:16:28+00:00,462,77,Blowing the whistle on Joe Biden https://t.co/PW1aGhFGIM
1649214094656847874,2023-04-21 00:50:55+00:00,158,23,"TEMPER TANTRUM: A video of a man having a meltdown over a baby crying on a plane has gone viral. TONIGHT on ""Hannity,"" we'll show you the clip, and @NBSaphierMD and @JimmyFailla will react."
1649210804414169095,2023-04-21 00:37:51+00:00,574,161,"*JOE'S BRAIN MELTS, FORGETS HOW TO SPELL* https://t.co/Xuwaf2ZfNh"
1649204486609551361,2023-04-21 00:12:45+00:00,418,68,*CLOWN SHOW* https://t.co/XY82MGfGf6
1649201186690543618,2023-04-20 23:59:38+00:00,216,30,"*JUST SAY NO, JOE!* https://t.co/tbR1rGMYrE"
1649112854295871498,2023-04-20 18:08:38+00:00,575,258,*JUST IN* https://t.co/zJJ03jRYPT
1649111618695856130,2023-04-20 18:03:43+00:00,306,57,Washington DC lawmakers are trying to silence your opinions.. and take away your favorite radio station while you’re on the road!  Text “AM” to 52886 and tell Congress to keep AM radio in all new cars and trucks! https://t.co/PrJwTmhuQ8 https://t.co/HxWAUjdR1Q
1649109310591336460,2023-04-20 17:54:33+00:00,2008,296,MACE: “My girl is an athlete. I cannot imagine her having to be put in that position where there’s a biological male in her locker room...We have worked too damn hard to put up with the bulls— of the left that wants to take our achievements away from us.” https://t.co/QQGvbNTaAU
1649079697899151360,2023-04-20 15:56:53+00:00,408,49,*WOKE IN RUINS* https://t.co/WyRKxoAu4Q
1649076154374975492,2023-04-20 15:42:48+00:00,1394,182,*CONSERVATIVES STAND UP* https://t.co/eKwOIwbqdY
1649065522158264322,2023-04-20 15:00:33+00:00,359,46,Cuts are coming for EPSN... https://t.co/RDAdhJ6YnS
1649058434740830209,2023-04-20 14:32:23+00:00,288,30,"""The rocket, which is poised to take astronauts to the moon as early as 2025, did not reach orbit, but the test run drew cheers from the control center after the ship climbed to dozens of miles in the atmosphere."" https://t.co/y3TEbc7Ziu"
1649054976298344456,2023-04-20 14:18:38+00:00,797,152,"Above The Law?  IRS Whistleblower Says Hunter Biden Receiving ""Preferential Treatment"" https://t.co/3AdcAAbCxW"
1649049829098815492,2023-04-20 13:58:11+00:00,3403,518,*WALLS CLOSING IN* https://t.co/NNR5krIezX
1649042994324987905,2023-04-20 13:31:02+00:00,534,59,How about you were ratings poison and your show was awful? https://t.co/fdPZ0lZWKs
1649038438195245056,2023-04-20 13:12:55+00:00,508,71,Hannity and Rubio dig into the latest COVID bombshell... https://t.co/TkMFBDZXIN
1649026788822073345,2023-04-20 12:26:38+00:00,252,28,Hannity: Your tax dollars are hard at work in this Biden administration dumpster fire https://t.co/vAFJX09tVg
1648851678693584897,2023-04-20 00:50:49+00:00,870,108,"VIVEK SCHOOLS DON LEMON: GOP presidential candidate @VivekGRamaswamy DESTROYED Don Lemon in a heated debate. TONIGHT on ""Hannity,"" we'll show you the tape and speak with Ramaswamy."
1648849148605595650,2023-04-20 00:40:45+00:00,223,24,"BIDEN'S BLUNDERS: Earlier today, President Biden completely bungled his remarks on the economy! Tune into ""Hannity"" TONIGHT to see the lowlights, and to hear @Larry_Kudlow's economic analysis!"
1648846617988964354,2023-04-20 00:30:42+00:00,434,68,"CDC HELD ACCOUNTABLE: @SenMarcoRubio and Rep. Dan Crenshaw recently introduced legislation that would force the CDC to make its COVID data public. TONIGHT on ""Hannity,"" we'll speak with Senator Rubio."
